date,myr_usd,myr_rmb,myr_sgd,myr_eur,myr_jpy,myr_twd,myr_thb,myr_idr,myr_hkd,myr_krw,myr_vnd,myr_inr,myr_aud,myr_php,myr_aed,myr_sar,myr_try,myr_gbp,myr_brl,myr_mxn,myr_bdt,myr_chf,myr_cad,myr_rub
2020-01-09,0.2439619452,1.694364493,0.3293242316,0.2195242732,26.59941441,7.321298031,7.401805454,3387.884762,1.897096834,283.3032508,5652.842232,17.42178686,0.3549156076,12.30627124,0.8958770464,0.914092482,1.441546685,0.1861575955,0.9911685739,4.589899836,20.31302962,0.2374237707,0.3180409951,14.94557274
2020-01-10,0.2446184009,1.700513789,0.3304916953,0.220156555,26.78742816,7.324608973,7.402152868,3382.47575,1.899823911,283.2216451,5668.052968,17.41543528,0.3569398281,12.38992238,0.8982876832,0.9164738656,1.437695675,0.1871575391,1.001002994,4.607338834,20.36340876,0.238043052,0.3195327804,14.98681586
2020-01-11,0.2446184009,1.700513789,0.3304916953,0.220156555,26.78742816,7.324608973,7.402152868,3382.47575,1.899823911,283.2216451,5668.052968,17.41543528,0.3569398281,12.38992238,0.8982876832,0.9164738656,1.437695675,0.1871575391,1.001002994,4.607338834,20.36340876,0.238043052,0.3195327804,14.98681586
2020-01-12,0.2446184009,1.700513789,0.3304916953,0.220156555,26.78742816,7.324608973,7.402152868,3382.47575,1.899823911,283.2216451,5668.052968,17.41543528,0.3569398281,12.38992238,0.8982876832,0.9164738656,1.437695675,0.1871575391,1.001002994,4.607338834,20.36340876,0.238043052,0.3195327804,14.98681586
2020-01-13,0.2454529852,1.695908274,0.330944255,0.2207972379,26.89330224,7.354262315,7.415625562,3319.121932,1.906317982,283.9719353,5586.925103,17.41562638,0.3556979511,12.36999188,0.9014162893,0.9207923271,1.44211728,0.188149529,0.9991163508,4.613932133,20.36928691,0.2388601183,0.3206941463,14.97385962
2020-01-14,0.2464268059,1.698546093,0.3317890569,0.2212937397,27.10497643,7.361754533,7.442089725,3367.497385,1.915105949,284.3617339,5709.955518,17.42703328,0.3571971446,12.43962505,0.9049285077,0.9234935475,1.445416423,0.1897313919,1.02163628,4.630384349,20.52153293,0.2392065067,0.3217249789,15.07836333
2020-01-15,0.2456097305,1.69478083,0.3310401771,0.220655784,26.98121042,7.325555874,7.434606654,3357.00363,1.910011061,284.1827506,5691.023065,17.40024602,0.3561341209,12.41557169,0.9019280436,0.9199810999,1.445929098,0.1886037096,1.014687473,4.61594024,20.41039496,0.237521798,0.3209013997,15.08107587
2020-01-16,0.2457002401,1.692825532,0.3306142453,0.2202798409,26.99828028,7.354545427,7.438820242,3357.517536,1.909459443,284.221131,5693.120264,17.37543015,0.3556854814,12.47321811,0.9022604131,0.9208198639,1.443574906,0.1884029408,1.025601957,4.614913798,20.45604088,0.2367813206,0.3203439699,15.07233344
2020-01-17,0.2461841553,1.693279219,0.3315115973,0.2209995191,27.12334007,7.360660102,7.471689209,3353.766748,1.913244725,285.2708185,5704.333063,17.46568321,0.3567368357,12.5160025,0.9040374465,0.9224116428,1.441432886,0.1882324,1.02993602,4.619153427,20.49755062,0.2375381653,0.320999521,15.15940468
2020-01-18,0.2461841553,1.693279219,0.3315115973,0.2209995191,27.12334007,7.360660102,7.471689209,3353.766748,1.913244725,285.2708185,5704.333063,17.46568321,0.3567368357,12.5160025,0.9040374465,0.9224116428,1.441432886,0.1882324,1.02993602,4.619153427,20.49755062,0.2375381653,0.320999521,15.15940468
2020-01-19,0.2461841553,1.693279219,0.3315115973,0.2209995191,27.12334007,7.360660102,7.471689209,3353.766748,1.913244725,285.2708185,5704.333063,17.46568321,0.3567368357,12.5160025,0.9040374465,0.9224116428,1.441432886,0.1882324,1.02993602,4.619153427,20.49755062,0.2375381653,0.320999521,15.15940468
2020-01-20,0.2467551678,1.69241962,0.3324705175,0.2224103049,27.18748447,7.390317465,7.4988894,3320.581402,1.91675217,286.3248229,5717.563994,17.52817895,0.3585623969,12.54009755,0.9062379788,0.9257513446,1.45357793,0.189705378,1.026896334,4.603538337,20.52441909,0.2389108166,0.3223510826,15.19207459
2020-01-21,0.246487543,1.692334149,0.3319447626,0.2221222464,27.15627122,7.367759332,7.47596716,3355.927898,1.915010982,285.3265719,5711.362859,17.50825623,0.358454504,12.54128645,0.9051515466,0.9236923662,1.456933628,0.1895242662,1.032413056,4.59790465,20.52561677,0.2386936006,0.3215528687,15.17589287
2020-01-22,0.2457545996,1.696886344,0.3317416749,0.2216878482,27.01039582,7.382959635,7.468482131,3354.796039,1.909562334,287.2232283,5694.379827,17.4903544,0.3589282845,12.53348458,0.9024600318,0.9208449403,1.45808667,0.1883463201,1.034848002,4.610208691,20.46437467,0.2380870581,0.3212872855,15.20230562
